name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Allen Iverson,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,3180,11,24,3,5,13,13,0,6,16,3,0,2,0,39.6,14.4.2005
Dwyane Wade,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,2940,18,33,2,3,10,13,2,8,6,1,0,3,4,35.3,14.4.2005
Jamal Crawford,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,2580,10,16,3,7,2,6,2,2,9,0,1,3,0,22.2,14.4.2005
Marc Jackson,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,2100,7,16,0,0,12,12,3,1,4,0,1,1,3,21.3,14.4.2005
Shareef Abdur-Rahim,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,2160,9,10,0,0,1,1,2,8,3,1,0,2,2,19.7,14.4.2005
LeBron James,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,2520,7,25,4,13,9,14,1,17,7,2,2,4,3,19.2,14.4.2005
Andre Iguodala,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,2640,5,10,3,5,6,6,4,6,4,1,0,4,3,17.2,14.4.2005
Udonis Haslem,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,2520,8,10,0,0,1,1,3,5,2,3,0,4,2,16.4,14.4.2005
Shawn Bradley,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,960,4,6,0,0,7,8,5,1,0,1,1,0,3,16.3,14.4.2005
Ruben Patterson,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,1440,7,12,0,0,4,5,3,1,3,1,0,1,3,15.3,14.4.2005
Kyle Korver,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,2880,7,16,5,9,1,1,0,6,2,2,0,0,4,15.2,14.4.2005
Damon Jones,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,2340,7,15,4,9,0,0,1,4,5,0,0,0,5,13.7,14.4.2005
Josh Howard,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2040,7,15,0,2,0,0,1,6,2,1,1,0,0,11.9,14.4.2005
Jason Terry,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1920,3,9,2,5,6,7,0,3,3,2,0,1,2,11.7,14.4.2005
Stephon Marbury,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1740,5,11,3,8,1,2,0,0,6,0,0,1,0,11.1,14.4.2005
Maurice Taylor,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1440,7,12,0,0,2,4,0,4,0,2,1,2,1,11.1,14.4.2005
Jerry Stackhouse,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1380,7,15,3,5,1,1,0,0,2,1,0,2,0,10.7,14.4.2005
Drew Gooden,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1680,5,12,0,1,2,2,5,1,1,1,2,1,5,9.5,14.4.2005
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1740,6,8,0,0,1,6,3,0,2,2,0,3,3,9.1,14.4.2005
Robert Traylor,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1620,6,12,0,0,1,2,5,4,0,0,0,1,4,8.7,14.4.2005
Travis Outlaw,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,1620,7,13,0,0,1,1,2,2,0,0,1,2,2,8.6,14.4.2005
Eddie Jones,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,2520,5,13,1,6,1,1,2,1,7,0,0,1,5,8.5,14.4.2005
Chris Webber,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,2280,7,16,0,0,1,2,2,8,1,3,1,4,6,8.0,14.4.2005
Ira Newble,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,2580,5,14,0,2,0,0,3,5,2,2,0,1,1,7.8,14.4.2005
Sebastian Telfair,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,2520,6,13,0,1,1,2,0,2,7,1,0,3,4,7.8,14.4.2005
Alonzo Mourning,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,780,1,1,0,0,2,2,1,1,0,1,3,0,1,7.4,14.4.2005
Jerome Williams,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1500,2,3,0,0,1,2,3,3,1,2,0,0,4,7.4,14.4.2005
Devin Harris,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1140,2,3,0,0,0,0,0,3,2,4,1,2,2,6.9,14.4.2005
Michael Finley,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1980,6,17,0,3,2,2,2,2,1,0,0,0,1,6.8,14.4.2005
Tim Thomas,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1140,3,5,2,2,0,0,0,1,2,1,0,1,2,6.6,14.4.2005
Keith Van Horn,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1920,5,12,0,1,2,2,2,5,3,0,0,2,5,6.6,14.4.2005
Mike Sweetney,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1260,6,9,0,0,2,3,1,4,0,0,0,4,3,6.4,14.4.2005
Erick Dampier,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1620,3,4,0,0,0,1,2,5,1,0,0,0,4,6.0,14.4.2005
Jeff McInnis,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1620,4,7,0,0,0,0,0,0,5,1,0,2,3,6.0,14.4.2005
Eric Snow,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,1320,1,2,0,0,0,0,1,2,5,1,0,0,2,6.0,14.4.2005
Damon Stoudamire,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,1740,3,11,2,6,2,2,1,6,6,0,0,3,3,6.0,14.4.2005
Samuel Dalembert,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,1620,4,9,0,0,0,0,3,2,0,2,1,1,6,5.3,14.4.2005
Shaquille O'Neal,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,2100,5,9,0,0,3,11,2,10,3,3,1,9,4,5.1,14.4.2005
Kurt Thomas,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1560,4,12,0,0,0,1,4,10,0,0,1,1,3,5.1,14.4.2005
Joel Przybilla,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,2160,3,5,0,0,1,3,0,7,0,0,6,4,3,5.0,14.4.2005
Marquis Daniels,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,720,1,3,0,0,0,0,1,1,2,3,0,1,2,3.9,14.4.2005
Christian Laettner,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,600,1,2,0,0,1,2,1,1,1,1,0,0,1,3.9,14.4.2005
Keyon Dooling,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,780,0,1,0,0,2,2,0,1,0,1,0,0,1,2.2,14.4.2005
Alan Henderson,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,720,1,2,0,0,1,2,0,2,0,0,0,0,0,2.2,14.4.2005
Trevor Ariza,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,300,0,0,0,0,0,0,0,2,2,0,0,0,0,2.0,14.4.2005
Darius Miles,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,960,2,8,0,1,2,3,1,0,1,0,1,1,0,1.9,14.4.2005
Sasha Pavlovic,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,480,2,3,0,1,0,0,0,0,0,0,0,1,0,1.7,14.4.2005
Jermaine Jackson,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1140,1,2,0,0,0,0,0,1,1,0,0,0,2,1.2,14.4.2005
Viktor Khryapa,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,1260,1,4,0,0,0,0,1,3,1,0,2,2,1,0.9,14.4.2005
Shandon Anderson,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,960,0,3,0,0,2,2,0,3,0,0,0,0,1,0.4,14.4.2005
Lucious Harris,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,180,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,14.4.2005
Richie Frahm,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,300,0,0,0,0,0,0,1,0,1,0,0,1,1,0.0,14.4.2005
Ha Seung-Jin,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,LOSS,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.4.2005
Aaron McKie,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,780,0,0,0,0,0,0,0,0,1,0,0,0,2,-0.1,14.4.2005
Steve Smith,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,60,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4,14.4.2005
Anderson Varejao,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,LOSS,660,0,4,0,0,0,0,2,1,0,1,0,0,1,-0.5,14.4.2005
Michael Doleac,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,LOSS,300,0,1,0,0,0,0,0,1,0,0,0,0,2,-1.2,14.4.2005
Rodney Rogers,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,WIN,420,0,2,0,1,0,0,1,0,0,0,0,1,1,-2.1,14.4.2005
Malik Rose,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1740,0,5,0,0,3,6,1,3,1,0,1,2,4,-2.3,14.4.2005
