name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
DeMarcus Cousins,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,3090,13,29,5,11,13,14,7,16,10,4,1,5,3,43.7,22.1.2018
Jamal Murray,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,2031,14,19,4,6,6,6,0,5,6,0,0,1,5,33.0,22.1.2018
Khris Middleton,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,2325,13,19,2,4,7,8,1,5,3,2,0,2,1,30.4,22.1.2018
Blake Griffin,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2202,13,21,2,8,4,7,1,10,12,1,0,4,4,28.8,22.1.2018
Anthony Davis,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,2567,14,23,0,0,6,8,3,6,5,2,1,2,6,28.4,22.1.2018
Jeff Teague,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,WIN,2058,7,14,0,1,16,17,1,2,6,0,0,1,2,26.3,22.1.2018
Malcolm Brogdon,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,2082,11,14,3,4,7,8,0,4,2,3,1,5,4,25.9,22.1.2018
Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,WIN,2462,16,28,3,7,5,8,2,4,1,0,1,3,2,25.8,22.1.2018
Jerian Grant,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,2835,6,7,2,2,8,8,0,5,13,2,1,6,4,25.2,22.1.2018
Jusuf Nurkic,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1605,7,13,0,0,5,6,5,7,1,2,3,2,2,19.9,22.1.2018
Dario Saric,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2096,7,11,3,4,5,5,4,6,2,0,1,4,2,19.0,22.1.2018
Kemba Walker,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,2398,6,20,5,14,9,10,0,6,9,1,2,6,0,18.5,22.1.2018
Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,2287,10,18,4,8,1,2,0,2,8,0,0,3,2,18.4,22.1.2018
