team,opp,treatment,year,rest3.,rest1,rest2,points
SACRAMENTO KINGS,PHOENIX SUNS,1,2005,0,1,-1,119
MIAMI HEAT,CHICAGO BULLS,1,2007,0,1,-1,95
PHOENIX SUNS,DALLAS MAVERICKS,1,2006,0,0,0,112
MILWAUKEE BUCKS,PHILADELPHIA 76ERS,1,2008,0,1,0,105
DENVER NUGGETS,LOS ANGELES LAKERS,1,2008,0,1,0,90
SEATTLE SUPERSONICS,BOSTON CELTICS,1,2004,0,0,0,84
LOS ANGELES CLIPPERS,PHOENIX SUNS,1,2006,0,0,0,90
NEW YORK KNICKS,WASHINGTON WIZARDS,1,2008,0,0,0,128
UTAH JAZZ,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2006,0,0,1,96
MEMPHIS GRIZZLIES,SEATTLE SUPERSONICS,1,2006,0,1,0,134
HOUSTON ROCKETS,LOS ANGELES LAKERS,1,2008,0,0,0,96
PHOENIX SUNS,GOLDEN STATE WARRIORS,1,2006,0,1,0,105
ORLANDO MAGIC,HOUSTON ROCKETS,1,2007,0,0,0,94
BOSTON CELTICS,ORLANDO MAGIC,1,2006,0,0,0,105
DETROIT PISTONS,NEW YORK KNICKS,1,2004,0,1,0,91
NEW YORK KNICKS,CHICAGO BULLS,1,2008,0,0,0,102
SACRAMENTO KINGS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2005,0,-1,0,110
DALLAS MAVERICKS,SEATTLE SUPERSONICS,1,2004,0,1,0,102
SACRAMENTO KINGS,GOLDEN STATE WARRIORS,1,2005,0,0,0,102
HOUSTON ROCKETS,MEMPHIS GRIZZLIES,1,2008,0,1,0,93
PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,1,2008,0,0,0,113
NEW JERSEY NETS,NEW YORK KNICKS,1,2007,0,1,0,105
GOLDEN STATE WARRIORS,ORLANDO MAGIC,1,2007,0,0,0,117
CHICAGO BULLS,PHILADELPHIA 76ERS,1,2008,0,0,0,113
HOUSTON ROCKETS,DALLAS MAVERICKS,1,2007,0,0,1,83
LOS ANGELES LAKERS,NEW YORK KNICKS,1,2007,0,0,0,120
WASHINGTON WIZARDS,ATLANTA HAWKS,1,2006,0,0,0,93
LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,1,2006,0,-1,0,107
UTAH JAZZ,TORONTO RAPTORS,1,2005,0,-1,0,111
MILWAUKEE BUCKS,DALLAS MAVERICKS,1,2004,0,0,1,110
TORONTO RAPTORS,DETROIT PISTONS,1,2008,0,0,0,95
LOS ANGELES LAKERS,UTAH JAZZ,1,2008,0,1,0,125
BOSTON CELTICS,WASHINGTON WIZARDS,1,2007,0,0,0,83
DETROIT PISTONS,WASHINGTON WIZARDS,1,2007,0,0,0,102
TORONTO RAPTORS,NEW YORK KNICKS,1,2004,0,0,0,114
UTAH JAZZ,PHILADELPHIA 76ERS,1,2006,1,0,0,98
ATLANTA HAWKS,HOUSTON ROCKETS,1,2007,0,0,0,75
CHARLOTTE BOBCATS,INDIANA PACERS,1,2005,-1,0,0,122
WASHINGTON WIZARDS,GOLDEN STATE WARRIORS,1,2005,0,0,0,129
MINNESOTA TIMBERWOLVES,LOS ANGELES CLIPPERS,1,2005,0,-1,1,84
SACRAMENTO KINGS,DETROIT PISTONS,1,2004,0,0,0,100
SAN ANTONIO SPURS,NEW YORK KNICKS,1,2006,0,0,1,100
CLEVELAND CAVALIERS,BOSTON CELTICS,1,2006,0,1,0,94
TORONTO RAPTORS,MINNESOTA TIMBERWOLVES,1,2005,0,1,0,97
WASHINGTON WIZARDS,LOS ANGELES LAKERS,1,2004,0,-1,0,95
BOSTON CELTICS,CHARLOTTE BOBCATS,1,2004,0,0,0,104
CLEVELAND CAVALIERS,LOS ANGELES CLIPPERS,1,2005,1,0,0,112
MEMPHIS GRIZZLIES,UTAH JAZZ,1,2006,0,0,0,97
CHARLOTTE BOBCATS,CHICAGO BULLS,1,2005,0,-1,0,93
CLEVELAND CAVALIERS,PHILADELPHIA 76ERS,1,2008,0,0,0,88
MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,1,2008,0,0,0,90
SACRAMENTO KINGS,ORLANDO MAGIC,1,2006,0,1,0,89
ORLANDO MAGIC,MINNESOTA TIMBERWOLVES,1,2007,0,0,0,101
MINNESOTA TIMBERWOLVES,CHICAGO BULLS,1,2004,-1,1,0,83
PHILADELPHIA 76ERS,CHICAGO BULLS,1,2006,0,0,0,87
CHICAGO BULLS,SAN ANTONIO SPURS,1,2005,0,0,0,95
DETROIT PISTONS,NEW YORK KNICKS,1,2004,0,0,0,97
NEW ORLEANS HORNETS,ATLANTA HAWKS,1,2007,0,1,0,116
MINNESOTA TIMBERWOLVES,MILWAUKEE BUCKS,1,2008,0,0,1,106
ATLANTA HAWKS,INDIANA PACERS,1,2005,0,-1,0,94
NEW YORK KNICKS,CLEVELAND CAVALIERS,1,2007,0,0,0,108
NEW ORLEANS HORNETS,LOS ANGELES CLIPPERS,1,2004,0,-1,1,88
INDIANA PACERS,TORONTO RAPTORS,1,2005,0,0,0,111
DENVER NUGGETS,INDIANA PACERS,1,2005,0,0,0,106
MIAMI HEAT,PHILADELPHIA 76ERS,1,2008,1,-1,0,106
PHILADELPHIA 76ERS,WASHINGTON WIZARDS,1,2006,0,0,0,98
ATLANTA HAWKS,PHILADELPHIA 76ERS,1,2008,0,0,1,95
UTAH JAZZ,LOS ANGELES CLIPPERS,1,2008,0,0,1,101
INDIANA PACERS,MILWAUKEE BUCKS,1,2007,0,0,0,105
PHOENIX SUNS,MILWAUKEE BUCKS,1,2006,0,1,-1,122
MIAMI HEAT,TORONTO RAPTORS,1,2007,0,0,1,83
DENVER NUGGETS,CHICAGO BULLS,1,2007,0,-1,1,112
UTAH JAZZ,SACRAMENTO KINGS,1,2007,1,-1,0,127
GOLDEN STATE WARRIORS,UTAH JAZZ,1,2004,0,0,0,80
TORONTO RAPTORS,CHICAGO BULLS,1,2006,0,0,0,97
INDIANA PACERS,CHARLOTTE BOBCATS,1,2005,0,0,0,93
CLEVELAND CAVALIERS,MIAMI HEAT,1,2005,0,0,0,106
MILWAUKEE BUCKS,TORONTO RAPTORS,1,2007,0,-1,1,112
CHICAGO BULLS,LOS ANGELES CLIPPERS,1,2005,0,1,-1,96
